width:27.724143565131396  height:28.034136626480265
width:29.117194951026136  height:27.9290706603322

width:27.00292975741161  height:28.005030021210615
width:26.31496023420486  height:28.015700644990115
width:23.144275457928117  height:28.033636339484005

width:27.197760872546986  height:28.01016017479625
width:26.23483526965467  height:28.022461888378118
width:28.281096739184893  height:27.949979164062345

width:27.30694116350803  height:27.985059444216834
width:22.15149238771177  height:27.995419983987997
width:29.292239923636327  height:28.008250093586256

width:28.84027808244169  height:28.020771493370635
width:32.29251431924571  height:28.025782855695653
width:29.234040144046485  height:28.002160001679616

width:28.123164106055945  height:28.00416001199856
width:31.14580932046633  height:27.994099965770108
width:29.143932981465575  height:27.974997395751952

width:28.595625103920828  height:28.003660008171323
width:22.735629226045372  height:27.98694962958891
width:23.97475868337708  height:27.983119198373135

width:28.4332361323853  height:28.009210130205545
width:22.551315069549503  height:27.93044403608989
width:33.09242706322558  height:27.97904846746514

width:29.256856596688138  height:27.987499674476624
width:34.854730649488964  height:28.0239122782422
width:26.367277647098028  height:27.942207877987403

width:28.765589850747517  height:28.01206029234376
width:26.25782997583259  height:27.973276820391757
width:24.082067312207357  height:27.870652004003908

width:27.278331470937825  height:28.00498002058436
width:28.722095987899365  height:28.023942286828696
width:29.36149142247447  height:28.017290861470126

width:27.895356086711935  height:28.010660201893728
width:24.999805643657016  height:27.983639270198992
width:33.81613642045304  height:28.055358235614097

width:29.485021123104676  height:27.995299982696146
width:30.203204620707996  height:27.999529999982695
width:32.8213925613378  height:28.183331750593034

width:28.256943385021273  height:28.006840053335708
width:33.86266059341767  height:27.979398542999753
width:26.98938248865563  height:27.993369951427518

width:27.749366440512603  height:28.003430006725605
width:28.488940362467464  height:28.022501898485555
width:23.563706028754776  height:27.975627587717128

width:27.851060082950596  height:27.9909798776877
width:26.874319830997912  height:28.007050058400583
width:34.35677939593849  height:27.900918596275403

width:27.830560926280363  height:27.985869529803306
width:31.645721362915694  height:28.018020975259436
width:29.612561528300798  height:28.05922456764918

width:28.084393961918764  height:27.999149999897647
width:30.87325966352032  height:28.068222811626434
width:28.874502761404166  height:27.999459999973755

width:26.553909099565303  height:27.996739994225667
width:33.02237342347425  height:27.975247473102293
width:29.081989877614213  height:28.00746006919368

width:28.561846058799  height:28.014240481263716
width:25.423068665513323  height:27.979288519534265
width:23.098553425876677  height:27.954454267899408

width:27.835195518223195  height:28.000420000012348
width:29.298389670637402  height:28.041952296236946
width:30.19250940853222  height:27.97514744234868

width:27.698118548837005  height:28.012910358617184
width:21.206303011677623  height:28.013220385076405
width:33.611857867895736  height:27.928439063446774

width:28.699457788793975  height:28.000060000000037
width:30.300085417666892  height:27.907147090599825
width:27.32467739036618  height:27.906172874232194

width:26.651859417741786  height:27.996829994690827
width:30.841976167906182  height:28.03544741920144
width:32.43618666947363  height:27.986069549488054

width:28.69642747867751  height:27.98817972476465
width:24.32377910737988  height:27.996719994118738
width:24.950162033807793  height:27.824379540607445

width:27.55703087488491  height:27.99403996471515
width:22.55710830947805  height:28.02449244809422
width:22.773864609573767  height:27.980138694445376

width:27.610239555459387  height:27.991669903664743
width:29.57717820135261  height:28.05330521175283
width:29.586358258470153  height:27.98014869641655

width:29.130029205637065  height:28.011290239846478
width:29.6647006876577  height:28.043793986776706
width:30.667822462977306  height:27.89444496296702

width:28.48163196748068  height:27.996759994331292
width:34.78539002388269  height:27.98259912198271
width:29.49883577216505  height:28.068443324663576

width:28.80141881153637  height:27.99544998430059
width:25.720128183695486  height:27.987079640548817
width:29.55935284772632  height:27.97066579463575

width:26.37039708398263  height:28.007560072013742
width:32.19545526875055  height:28.00420001234801
width:32.193227099547265  height:27.960179483779186

width:27.959883866839107  height:27.983839296638667
width:29.257836991137587  height:27.995229981911425
width:30.345361815877677  height:27.789168533043235

width:27.96647924768084  height:27.9907298672331
width:30.682528379718992  height:28.02074148690885
width:32.29875319301492  height:28.02099154133

width:28.859440337589948  height:27.994919978150552
width:24.00978550325274  height:28.004360013813656
width:30.928874766834355  height:28.041411827337534

width:29.316838911640613  height:28.01090021583945
